Pore Index,Pore Area (µm²),Equivalent Diameter (µm)
232,2.62945056,1.8297323394196263
233,1.75296704,1.4939701991490144
234,3.90433568,2.2296086167075266
235,2.31072928,1.7152585509110312
236,10.79668336,3.7076629034927255
237,1.47408592,1.3699870385085084
238,6.09554448,2.785872983218749
239,2.5896103999999998,1.8158178231137183
240,9.48195808,3.474594075424797
241,1.75296704,1.4939701991490144
242,2.94817184,1.9374542501340841
243,4.5019380799999995,2.394169081624164
244,3.02785216,1.9634615111388811
245,1.7928072,1.5108517541856719
